numerical = 7.869390828604888588e-02   exact = 7.869390828605024590e-02
numerical = 1.567445934655900541e-01   exact = 1.567445934655908313e-01
numerical = 2.338269653038266283e-01   exact = 2.338269653038277385e-01
numerical = 3.094648358354837314e-01   exact = 3.094648358354856743e-01
numerical = 3.831909407197355844e-01   exact = 3.831909407197394146e-01
numerical = 4.545498258360821109e-01   exact = 4.545498258360777255e-01
numerical = 5.231006609207519142e-01   exact = 5.231006609207512481e-01
numerical = 5.884199628621429312e-01   exact = 5.884199628621428202e-01
numerical = 6.501042118314939167e-01   exact = 6.501042118314911411e-01
numerical = 7.077723440874243988e-01   exact = 7.077723440874273964e-01
numerical = 7.610681060546625742e-01   exact = 7.610681060546489185e-01
numerical = 8.096622551340529883e-01   exact = 8.096622551340536544e-01
numerical = 8.532545936485057547e-01   exact = 8.532545936485000926e-01
numerical = 8.915758233591748461e-01   exact = 8.915758233591850601e-01
numerical = 9.243892090960964536e-01   exact = 9.243892090960872387e-01
numerical = 9.514920412251443027e-01   exact = 9.514920412251461901e-01
numerical = 9.727168879175510652e-01   exact = 9.727168879175666083e-01
numerical = 9.879326294851709100e-01   exact = 9.879326294851666912e-01
numerical = 9.970452683920059123e-01   exact = 9.970452683920062453e-01
numerical = 9.999985099383347231e-01   exact = 9.999985099383262854e-01
numerical = 9.967741100295274270e-01   exact = 9.967741100295385293e-01
numerical = 9.873919878818642193e-01   exact = 9.873919878818682161e-01
numerical = 9.719101029683937520e-01   exact = 9.719101029683947512e-01
numerical = 9.504240969656818638e-01   exact = 9.504240969656749805e-01
numerical = 9.230667029128869494e-01   exact = 9.230667029128762913e-01
numerical = 8.900069252334241732e-01   exact = 8.900069252334299463e-01
numerical = 8.514489956847357544e-01   exact = 8.514489956847434149e-01
numerical = 8.076311116857484151e-01   exact = 8.076311116857483041e-01
numerical = 7.588239648164656348e-01   exact = 7.588239648164589735e-01
numerical = 7.053290685799628035e-01   exact = 7.053290685799545878e-01
numerical = 6.474768957572724082e-01   exact = 6.474768957572872852e-01
numerical = 5.856248368620847744e-01   exact = 5.856248368620882161e-01
numerical = 5.201549923068480297e-01   exact = 5.201549923068254921e-01
numerical = 4.514718119199495061e-01   exact = 4.514718119199381818e-01
numerical = 3.799995963960760004e-01   exact = 3.799995963960873246e-01
numerical = 3.061798761147022097e-01   exact = 3.061798761146888315e-01
numerical = 2.304686835194681704e-01   exact = 2.304686835194745265e-01
numerical = 1.533337359093619179e-01   exact = 1.533337359093630003e-01
numerical = 7.525154604438351325e-02   exact = 7.525154604438183403e-02
numerical = -3.295521583698726546e-03   exact = -3.295521583701030693e-03
numerical = -8.182223063069278546e-02   exact = -8.182223063069579694e-02
numerical = -1.598434705206193129e-01   exact = -1.598434705206172035e-01
numerical = -2.368772532893511917e-01   exact = -2.368772532893505811e-01
numerical = -3.124476911379173161e-01   exact = -3.124476911379165389e-01
numerical = -3.860879363010612519e-01   exact = -3.860879363010508714e-01
numerical = -4.573430650696003741e-01   exact = -4.573430650696038713e-01
numerical = -5.257728881502938822e-01   exact = -5.257728881502966578e-01
numerical = -5.909546700013933451e-01   exact = -5.909546700013991183e-01
numerical = -6.524857403452258842e-01   exact = -6.524857403452257731e-01
numerical = -7.099859817244317250e-01   exact = -7.099859817244458249e-01
numerical = -7.631001777349486481e-01   exact = -7.631001777349408766e-01
numerical = -8.115002074286683520e-01   exact = -8.115002074286629119e-01
numerical = -8.548870723302196550e-01   exact = -8.548870723302193220e-01
numerical = -8.929927435450131235e-01   exact = -8.929927435450084605e-01
numerical = -9.255818175480903243e-01   exact = -9.255818175480935439e-01
numerical = -9.524529704249437012e-01   exact = -9.524529704249443673e-01
numerical = -9.734402015802426922e-01   exact = -9.734402015802517960e-01
numerical = -9.884138592316252803e-01   exact = -9.884138592316126237e-01
numerical = -9.972814413529553779e-01   exact = -9.972814413529520472e-01
numerical = -9.999881671197261568e-01   exact = -9.999881671197239363e-01
numerical = -9.965173153256969840e-01   exact = -9.965173153257081973e-01
numerical = -9.868903276807844405e-01   exact = -9.868903276807814429e-01
numerical = -9.711666763515202083e-01   exact = -9.711666763515239831e-01
numerical = -9.494434965629503509e-01   exact = -9.494434965629509060e-01
numerical = -9.218549865310291525e-01   exact = -9.218549865310241564e-01
numerical = -8.885715784329694111e-01   exact = -8.885715784329563105e-01
numerical = -8.497988855367579752e-01   exact = -8.497988855367571981e-01
numerical = -8.057764319943002684e-01   exact = -8.057764319942946063e-01
numerical = -7.567761731447510964e-01   exact = -7.567761731447586460e-01
numerical = -7.031008154695872481e-01   exact = -7.031008154695796986e-01
numerical = -6.450819465775430306e-01   exact = -6.450819465775368133e-01
numerical = -5.830779867723628884e-01   exact = -5.830779867723436816e-01
numerical = -5.174719748572195188e-01   exact = -5.174719748572244038e-01
numerical = -4.486692018550011984e-01   exact = -4.486692018550002548e-01
numerical = -3.770947072617368279e-01   exact = -3.770947072617295559e-01
numerical = -3.031906533011914928e-01   exact = -3.031906533011907712e-01
numerical = -2.274135934011206339e-01   exact = -2.274135934011221050e-01
numerical = -1.502316517656439865e-01   exact = -1.502316517656440420e-01
numerical = -7.212163146745545483e-02   exact = -7.212163146745391440e-02
numerical = 6.433931074982809396e-03   exact = 6.433931074983223128e-03
numerical = 8.494974703887389622e-02   exact = 8.494974703886915002e-02
numerical = 1.629407731418751892e-01   exact = 1.629407731418767158e-01
numerical = 2.399252080701036738e-01   exact = 2.399252080701136103e-01
numerical = 3.154274688783157976e-01   exact = 3.154274688783186842e-01
numerical = 3.889811289751744505e-01   exact = 3.889811289751693990e-01
numerical = 4.601317995438048425e-01   exact = 4.601317995438026220e-01
numerical = 5.284399365972193285e-01   exact = 5.284399365972120011e-01
numerical = 5.934835563274254433e-01   exact = 5.934835563274309944e-01
numerical = 6.548608419740871156e-01   exact = 6.548608419740923337e-01
numerical = 7.121926261080053777e-01   exact = 7.121926261080036014e-01
numerical = 7.651247329950511267e-01   exact = 7.651247329950549014e-01
numerical = 8.133301665701947458e-01   exact = 8.133301665701941907e-01
numerical = 8.565111305048629387e-01   exact = 8.565111305048694890e-01
numerical = 8.944008678887326314e-01   exact = 8.944008678887231945e-01
numerical = 9.267653091605998483e-01   exact = 9.267653091605910776e-01
numerical = 9.534045181084712661e-01   exact = 9.534045181084828124e-01
numerical = 9.741539270056629451e-01   exact = 9.741539270056558397e-01
numerical = 9.888853532525432311e-01   exact = 9.888853532525371248e-01
numerical = 9.975077912440513117e-01   exact = 9.975077912440475369e-01
numerical = 9.999679745704369571e-01   exact = 9.999679745704359579e-01
numerical = 9.962507050785602836e-01   exact = 9.962507050785522900e-01
numerical = 9.863789467607338990e-01   exact = 9.863789467607267936e-01
numerical = 9.704136838912376106e-01   exact = 9.704136838912491569e-01
numerical = 9.484535442868159416e-01   exact = 9.484535442868248234e-01
numerical = 9.206341900183728777e-01   exact = 9.206341900183797611e-01
numerical = 8.871274793381758172e-01   exact = 8.871274793381750401e-01
numerical = 8.481404049995696637e-01   exact = 8.481404049995665551e-01
numerical = 8.039138155280763920e-01   exact = 8.039138155280792786e-01
numerical = 7.547209273433627130e-01   exact = 7.547209273433603816e-01
numerical = 7.008656369235879424e-01   exact = 7.008656369235819472e-01
numerical = 6.426806434391597600e-01   exact = 6.426806434391582057e-01
numerical = 5.805253934534948534e-01   exact = 5.805253934535021809e-01
numerical = 5.147838603877220587e-01   exact = 5.147838603877220587e-01
numerical = 4.458621724669762920e-01   exact = 4.458621724669634134e-01
numerical = 3.741861038021236374e-01   exact = 3.741861038021128127e-01
numerical = 3.001984441060688846e-01   exact = 3.001984441060741582e-01
numerical = 2.243562632936258738e-01   exact = 2.243562632936161594e-01
numerical = 1.471280878630940869e-01   exact = 1.471280878631049394e-01
numerical = 6.899100650348490016e-02   exact = 6.899100650347571306e-02
numerical = -9.572277193024877895e-03   exact = -9.572277193026744457e-03
numerical = -8.807642670501260318e-02   exact = -8.807642670500996640e-02
numerical = -1.660364708214109031e-01   exact = -1.660364708214119578e-01
numerical = -2.429707996242310986e-01   exact = -2.429707996242286838e-01
numerical = -3.184041397063427370e-01   exact = -3.184041397063402945e-01
numerical = -3.918704902445780403e-01   exact = -3.918704902445867555e-01
numerical = -4.629160017900599833e-01   exact = -4.629160017900685875e-01
numerical = -5.311017799914674598e-01   exact = -5.311017799914771187e-01
numerical = -5.960065969310849310e-01   exact = -5.960065969310957001e-01
numerical = -6.572294933237075032e-01   exact = -6.572294933237048387e-01
numerical = -7.143922555029783572e-01   exact = -7.143922555029890153e-01
numerical = -7.671417518934353641e-01   exact = -7.671417518934317004e-01
numerical = -8.151521145338330721e-01   exact = -8.151521145338308516e-01
numerical = -8.581267521757224293e-01   exact = -8.581267521757272032e-01
numerical = -8.958001825205150759e-01   exact = -8.958001825205199609e-01
numerical = -9.279396722763587624e-01   exact = -9.279396722763678662e-01
numerical = -9.543466749031562779e-01   exact = -9.543466749031627172e-01
numerical = -9.748580571636936698e-01   exact = -9.748580571636934478e-01
numerical = -9.893471069037936827e-01   exact = -9.893471069037967913e-01
numerical = -9.977243158357859132e-01   exact = -9.977243158357805841e-01
numerical = -9.999379324893549192e-01   exact = -9.999379324893558074e-01
numerical = -9.959742819141411685e-01   exact = -9.959742819141407244e-01
numerical = -9.858578501587265119e-01   exact = -9.858578501587281773e-01
numerical = -9.696511330044563781e-01   exact = -9.696511330044309540e-01
numerical = -9.474542498881830532e-01   exact = -9.474542498881763919e-01
numerical = -9.194043253995974885e-01   exact = -9.194043253996017073e-01
numerical = -8.856746421732409891e-01   exact = -8.856746421732422103e-01
numerical = -8.464735704089624280e-01   exact = -8.464735704089491053e-01
numerical = -8.020432806335828779e-01   exact = -8.020432806335882070e-01
numerical = -7.526582476561043400e-01   exact = -7.526582476561193280e-01
numerical = -6.986235549581222282e-01   exact = -6.986235549581238935e-01
numerical = -6.402730099946265518e-01   exact = -6.402730099946183362e-01
numerical = -5.779670820482133431e-01   exact = -5.779670820482175619e-01
numerical = -5.120906753758415197e-01   exact = -5.120906753758359686e-01
numerical = -4.430507514046418405e-01   exact = -4.430507514046394535e-01
numerical = -3.712738146665273686e-01   exact = -3.712738146665342520e-01
numerical = -2.972032780021499065e-01   exact = -2.972032780021421350e-01
numerical = -2.212967233111856058e-01   exact = -2.212967233111899634e-01
numerical = -1.440230747713813486e-01   exact = -1.440230747713768800e-01
numerical = -6.585970198862169112e-02   exact = -6.585970198862002578e-02
numerical = 1.271052902560554365e-02   exact = 1.271052902560486191e-02
numerical = 9.120223883179742752e-02   exact = 9.120223883180338109e-02
numerical = 1.691305330670760387e-01   exact = 1.691305330670754836e-01
numerical = 2.460139979530887588e-01   exact = 2.460139979530842347e-01
numerical = 3.213776743022236371e-01   exact = 3.213776743022226379e-01
numerical = 3.947559916495397281e-01   exact = 3.947559916495414489e-01
numerical = 4.656956443844263993e-01   exact = 4.656956443844298965e-01
numerical = 5.337583921143476129e-01   exact = 5.337583921143431720e-01
numerical = 5.985237669608134414e-01   exact = 5.985237669608257649e-01
numerical = 6.595916710632085955e-01   exact = 6.595916710632087065e-01
numerical = 7.165848482433911926e-01   exact = 7.165848482433918587e-01
numerical = 7.691512145627391606e-01   exact = 7.691512145627409369e-01
numerical = 8.169660333736700197e-01   exact = 8.169660333736653568e-01
numerical = 8.597339214291709331e-01   exact = 8.597339214291653819e-01
numerical = 8.971906736573715957e-01   exact = 8.971906736573640462e-01
numerical = 9.291048953281317857e-01   exact = 9.291048953281269007e-01
numerical = 9.552794315288650751e-01   exact = 9.552794315288819504e-01
numerical = 9.755525851187927255e-01   exact = 9.755525851187891728e-01
numerical = 9.897991156371794830e-01   exact = 9.897991156371879207e-01
numerical = 9.979310129954224173e-01   exact = 9.979310129954176434e-01
numerical = 9.998980411723886741e-01   exact = 9.998980411723934481e-01
numerical = 9.956880485552110915e-01   exact = 9.956880485551998783e-01
numerical = 9.853270430075007358e-01   exact = 9.853270430075072861e-01
numerical = 9.688790312020865159e-01   exact = 9.688790312020776341e-01
numerical = 9.464456232099062172e-01   exact = 9.464456232099006661e-01
numerical = 9.181654047886634862e-01   exact = 9.181654047886689263e-01
numerical = 8.842130812483801616e-01   exact = 8.842130812483824931e-01
numerical = 8.447983981829776390e-01   exact = 8.447983981829733091e-01
numerical = 8.001648457353160993e-01   exact = 8.001648457353047750e-01
numerical = 7.505881544001206107e-01   exact = 7.505881544001191674e-01
numerical = 6.963745916573831352e-01   exact = 6.963745916573740313e-01
numerical = 6.378590699587455282e-01   exact = 6.378590699587383117e-01
numerical = 5.754030777554779430e-01   exact = 5.754030777554662857e-01
numerical = 5.093924463490244747e-01   exact = 5.093924463490209220e-01
numerical = 4.402349663600925167e-01   exact = 4.402349663600955698e-01
numerical = 3.683578685405883846e-01   exact = 3.683578685405979325e-01
numerical = 2.942051844913331493e-01   exact = 2.942051844913249892e-01
numerical = 2.182350035898438234e-01   exact = 2.182350035898449336e-01
numerical = 1.409166430743561405e-01   exact = 1.409166430743618303e-01
numerical = 6.272774876576588110e-02   exact = 6.272774876576416025e-02
numerical = -1.584865566140129453e-02   exact = -1.584865566141199084e-02
numerical = -9.432715263047390664e-02   exact = -9.432715263047831977e-02
numerical = -1.722229294028141677e-01   exact = -1.722229294028215507e-01
numerical = -2.490547730816434491e-01   exact = -2.490547730816433381e-01
numerical = -3.243480433771077087e-01   exact = -3.243480433771091520e-01
numerical = -3.976376047682934067e-01   exact = -3.976376047682822490e-01
numerical = -4.684706999478302492e-01   exact = -4.684706999478362999e-01
numerical = -5.364097467985770029e-01   exact = -5.364097467985819989e-01
numerical = -6.010350416228804615e-01   exact = -6.010350416228860126e-01
numerical = -6.619473519255058003e-01   exact = -6.619473519255092420e-01
numerical = -7.187703827325082617e-01   exact = -7.187703827325053751e-01
numerical = -7.711531012100757421e-01   exact = -7.711531012100875104e-01
numerical = -8.187719052228633609e-01   exact = -8.187719052228727978e-01
numerical = -8.613326224348165638e-01   exact = -8.613326224348124560e-01
numerical = -8.985723276031275519e-01   exact = -8.985723276031279960e-01
numerical = -9.302609668385968256e-01   exact = -9.302609668385991570e-01
numerical = -9.562027787981385307e-01   exact = -9.562027787981322025e-01
numerical = -9.762375040299573481e-01   exact = -9.762375040299491324e-01
numerical = -9.902413750004964710e-01   exact = -9.902413750004948056e-01
numerical = -9.981278806870311771e-01   exact = -9.981278806870226283e-01
numerical = -9.998483010124773473e-01   exact = -9.998483010124722403e-01
numerical = -9.953920078210715117e-01   exact = -9.953920078210836131e-01
numerical = -9.847865305354294163e-01   exact = -9.847865305354335241e-01
numerical = -9.680973860892869709e-01   exact = -9.680973860892763128e-01
numerical = -9.454276741868229417e-01   exact = -9.454276741868191669e-01
numerical = -9.169174403887756508e-01   exact = -9.169174403887592195e-01
numerical = -8.827428109597497130e-01   exact = -8.827428109597461603e-01
numerical = -8.431149048218299358e-01   exact = -8.431149048218297137e-01
numerical = -7.982785293355246781e-01   exact = -7.982785293355260103e-01
numerical = -7.485106679654651707e-01   exact = -7.485106679654560669e-01
numerical = -6.941187691732606524e-01   exact = -6.941187691732760845e-01
numerical = -6.354388471084538859e-01   exact = -6.354388471084613244e-01
numerical = -5.728334058303000687e-01   exact = -5.728334058302975151e-01
numerical = -5.066891998844441636e-01   exact = -5.066891998844313960e-01
numerical = -4.374148450683892908e-01   exact = -4.374148450683827960e-01
numerical = -3.654382941459244916e-01   exact = -3.654382941459276557e-01
numerical = -2.912041931043803933e-01   exact = -2.912041931043771736e-01
numerical = -2.151711342870451793e-01   exact = -2.151711342870526456e-01
numerical = -1.378088233699521770e-01   exact = -1.378088233699427956e-01
