# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.3600  5.315149609097786e-01  5.292048719378992e-01  1.400288982414042e-01  5.576487433628349e+00
0.3700  5.362219085048425e-01  4.118154266569435e-01  8.479597281632020e-02  5.675692383846719e+00
0.3800  5.397446460977732e-01  2.924392405597424e-01  4.276035470957943e-02  5.750510851108504e+00
0.3900  5.420656095779914e-01  1.715381350159331e-01  1.471266588237225e-02  5.800072887509741e+00
0.4000  5.431718848539340e-01  4.957998663476688e-02  1.229087537351831e-03  5.823771217226336e+00
0.4100  5.430552591945006e-01  -7.296311830364130e-02  2.661808316295578e-03  5.821270615626255e+00
0.4200  5.417122540256258e-01  -1.956167460345105e-01  1.913295566456508e-02  5.792513581313970e+00
0.4300  5.391441390525024e-01  -3.179059867629344e-01  5.053210820985750e-02  5.737722206261372e+00
0.4400  5.353569276516835e-01  -4.393573280010798e-01  9.651743083412420e-02  5.657396206431389e+00
0.4500  5.303613535512099e-01  -5.595005223949288e-01  1.565204172800991e-01  5.552307133197274e+00
0.4600  5.241728288907519e-01  -6.778704426691967e-01  2.297541685222663e-01  5.423488843502303e+00
0.4700  5.168113838272419e-01  -7.940089163698959e-01  3.152250796374482e-01  5.272224363194700e+00
0.4800  5.083015879243056e-01  -9.074665331637460e-01  4.117477544061141e-01  5.100029332432879e+00
0.4900  4.986724536356843e-01  -1.017804417561934e+00  5.179629162042939e-01  4.908632273638845e+00
0.5000  4.879573222635132e-01  -1.124595960072184e+00  6.323580367053389e-01  4.699951970381155e+00
0.5100  4.761937328414796e-01  -1.227428499947159e+00  7.532903612412659e-01  4.476072289047933e+00
0.5200  4.634232744602720e-01  -1.325904952888239e+00  8.790119720467818e-01  4.239214813549436e+00
0.5300  4.496914226180779e-01  -1.419645377280977e+00  1.007696498617623e+00  3.991709695972614e+00
0.5400  4.350473602419307e-01  -1.508288472781074e+00  1.137467058562133e+00  3.735965152589986e+00
0.5500  4.195437840862038e-01  -1.591493005336764e+00  1.266424993017922e+00  3.474436054491990e+00
0.5600  4.032366972722592e-01  -1.668939153023743e+00  1.392678948247803e+00  3.209592075059338e+00
0.5700  3.861851887879492e-01  -1.740329767381372e+00  1.514373849616851e+00  2.943885862321591e+00
0.5800  3.684512008171352e-01  -1.805391545272293e+00  1.629719315870339e+00  2.679721702873242e+00
0.5900  3.500992848174161e-01  -1.863876106640751e+00  1.737017070453143e+00  2.419425135464954e+00
0.6000  3.311963473086598e-01  -1.915560973916311e+00  1.834686922395603e+00  2.165213956793202e+00
0.6100  3.118113863755428e-01  -1.960250449197760e+00  1.921290911790010e+00  1.919171039624755e+00
0.6200  2.920152199239440e-01  -1.997776385755463e+00  1.995555243741081e+00  1.683219354567379e+00
0.6300  2.718802067635879e-01  -2.027998850807471e+00  2.056389669438212e+00  1.459099551989912e+00
0.6400  2.514799616176366e-01  -2.050806676953791e+00  2.102904013119126e+00  1.248350420351422e+00
0.6500  2.308890651839014e-01  -2.066117900092650e+00  2.134421588541630e+00  1.052292492154030e+00
0.6600  2.101827703918712e-01  -2.073880082090568e+00  2.150489297445990e+00  8.720150195944312e-01
0.6700  1.894367060147681e-01  -2.074070516932895e+00  2.150884254605142e+00  7.083664895270796e-01
0.6800  1.687265788062767e-01  -2.066696319541304e+00  2.135616838602785e+00  5.619487923900424e-01
0.6900  1.481278753374182e-01  -2.051794396907805e+00  2.104930123591132e+00  4.331151031443168e-01
0.7000  1.277155647102195e-01  -2.029431301659278e+00  2.059295704077236e+00  3.219714749252984e-01
0.7100  1.075638033213697e-01  -1.999702968630508e+00  1.999405981374833e+00  2.283820888986084e-01
0.7200  8.774564284096240e-02  -1.962734335485437e+00  1.926163035846729e+00  1.519780476460310e-01
0.7300  6.833274255873524e-02  -1.918678848883935e+00  1.840664262577290e+00  9.216954515812149e-02
0.7400  4.939508723297936e-02  -1.867717858143113e+00  1.744184998813349e+00  4.816119502445532e-02
0.7500  3.100071155557510e-02  -1.810059898786179e+00  1.638158418596916e+00  1.897025049262035e-02
0.7600  1.321543232049765e-02  -1.745939868806423e+00  1.524153012743894e+00  3.447406458143195e-03
0.7700  -3.897410647265147e-03  -1.675618100897328e+00  1.403848010027384e+00  2.998348263880439e-04
0.7800  -2.027720378001585e-02  -1.599379334310343e+00  1.279007127509498e+00  8.116071651663590e-03
0.7900  -3.586629828911264e-02  -1.517531590398015e+00  1.151451063927964e+00  2.539234751746577e-02
0.8000  -5.061023697892952e-02  -1.430404956280257e+00  1.023029169475563e+00  5.055993218762808e-02
0.8100  -6.445796845795040e-02  -1.338350281434153e+00  8.955907379074383e-01  8.201305094090915e-02
0.8200  -7.736204790167427e-02  -1.241737792351312e+00  7.709563724767555e-01  1.181369234032540e-01
0.8300  -8.927882357508349e-02  -1.140955630730188e+00  6.508898756474606e-01  1.573354762038185e-01
0.8400  -1.001686083786284e-01  -1.036408320972481e+00  5.370711038904988e-01  1.980582883818257e-01
0.8500  -1.099958357407869e-01  -9.285151730318243e-01  4.310702132751593e-01  2.388263430285961e-01
0.8600  -1.187291992420363e-01  -8.177086269180108e-01  3.343236992680693e-01  2.782561799202032e-01
0.8700  -1.263417754192790e-01  -7.044325453903433e-01  2.481126055025590e-01  3.150820715328794e-01
0.8800  -1.328111292661445e-01  -5.891404615781144e-01  1.735432417342369e-01  3.481758783871541e-01
0.8900  -1.381194020128805e-01  -4.722937884441317e-01  1.115307113014551e-01  3.765642785962137e-01
0.9000  -1.422533808394834e-01  -3.543599971577808e-01  6.278550379283122e-02  3.994431101732085e-01
0.9100  -1.452045502470183e-01  -2.358107715668187e-01  2.780335999346918e-02  4.161886123807305e-01
0.9200  -1.469691248844665e-01  -1.171201460514189e-01  6.858564305552846e-03  4.263654034195513e-01
0.9300  -1.475480637016265e-01  1.237365890431240e-03  7.655371734013475e-07  4.297310852377825e-01
0.9400  -1.469470653722924e-01  1.187886449404994e-01  7.055371083400016e-03  4.262374213422789e-01
0.9500  -1.451765450058498e-01  2.350638337477340e-01  2.762750296809115e-02  4.160280893329139e-01
0.9600  -1.422515922392799e-01  3.495981918341818e-01  6.110944786686468e-02  3.994330655678368e-01
0.9700  -1.381919108750430e-01  4.619339302988728e-01  1.066914779806819e-01  3.769597540176386e-01
0.9800  -1.330217403031430e-01  5.716220190788753e-01  1.633758663479050e-01  3.492810241092153e-01
