# 3D harmonic oscillator
# eigenvalue = 1.500000e+00

#   r       u(r)
0.005859 4.006328e-04
0.011719 8.012449e-04
0.017578 1.201816e-03
0.023438 1.602325e-03
0.029297 2.002751e-03
0.035156 2.403074e-03
0.041016 2.803274e-03
0.046875 3.203329e-03
0.052734 3.603220e-03
0.058594 4.002925e-03
0.064453 4.402424e-03
0.070312 4.801696e-03
0.076172 5.200721e-03
0.082031 5.599479e-03
0.087891 5.997948e-03
0.093750 6.396110e-03
0.099609 6.793942e-03
0.105469 7.191425e-03
0.111328 7.588538e-03
0.117188 7.985261e-03
0.123047 8.381574e-03
0.128906 8.777457e-03
0.134766 9.172888e-03
0.140625 9.567849e-03
0.146484 9.962319e-03
0.152344 1.035628e-02
0.158203 1.074970e-02
0.164062 1.114258e-02
0.169922 1.153488e-02
0.175781 1.192660e-02
0.181641 1.231770e-02
0.187500 1.270817e-02
0.193359 1.309799e-02
0.199219 1.348714e-02
0.205078 1.387560e-02
0.210938 1.426336e-02
0.216797 1.465038e-02
0.222656 1.503665e-02
0.228516 1.542216e-02
0.234375 1.580687e-02
0.240234 1.619079e-02
0.246094 1.657387e-02
0.251953 1.695611e-02
0.257812 1.733749e-02
0.263672 1.771798e-02
0.269531 1.809758e-02
0.275391 1.847625e-02
0.281250 1.885398e-02
0.287109 1.923075e-02
0.292969 1.960655e-02
0.298828 1.998135e-02
0.304688 2.035514e-02
0.310547 2.072790e-02
0.316406 2.109960e-02
0.322266 2.147024e-02
0.328125 2.183979e-02
0.333984 2.220823e-02
0.339844 2.257556e-02
0.345703 2.294174e-02
0.351562 2.330677e-02
0.357422 2.367062e-02
0.363281 2.403327e-02
0.369141 2.439472e-02
0.375000 2.475494e-02
0.380859 2.511391e-02
0.386719 2.547163e-02
0.392578 2.582806e-02
0.398438 2.618320e-02
0.404297 2.653702e-02
0.410156 2.688951e-02
0.416016 2.724066e-02
0.421875 2.759045e-02
0.427734 2.793886e-02
0.433594 2.828587e-02
0.439453 2.863147e-02
0.445312 2.897565e-02
0.451172 2.931838e-02
