# 3D harmonic oscillator
# eigenvalue = 1.500000e+00

#   r       u(r)
0.457031 2.965965e-02
0.462891 2.999945e-02
0.468750 3.033776e-02
0.474609 3.067456e-02
0.480469 3.100985e-02
0.486328 3.134359e-02
0.492188 3.167579e-02
0.498047 3.200642e-02
0.503906 3.233548e-02
0.509766 3.266293e-02
0.515625 3.298878e-02
0.521484 3.331301e-02
0.527344 3.363559e-02
0.533203 3.395653e-02
0.539062 3.427580e-02
0.544922 3.459339e-02
0.550781 3.490928e-02
0.556641 3.522347e-02
0.562500 3.553594e-02
0.568359 3.584667e-02
0.574219 3.615566e-02
0.580078 3.646289e-02
0.585938 3.676835e-02
0.591797 3.707202e-02
0.597656 3.737389e-02
0.603516 3.767396e-02
0.609375 3.797220e-02
0.615234 3.826860e-02
0.621094 3.856316e-02
0.626953 3.885587e-02
0.632812 3.914670e-02
0.638672 3.943565e-02
0.644531 3.972271e-02
0.650391 4.000786e-02
0.656250 4.029110e-02
0.662109 4.057241e-02
0.667969 4.085179e-02
0.673828 4.112922e-02
0.679688 4.140469e-02
0.685547 4.167819e-02
0.691406 4.194971e-02
0.697266 4.221925e-02
0.703125 4.248679e-02
0.708984 4.275232e-02
0.714844 4.301583e-02
0.720703 4.327732e-02
0.726562 4.353677e-02
0.732422 4.379418e-02
0.738281 4.404953e-02
0.744141 4.430282e-02
0.750000 4.455404e-02
0.755859 4.480318e-02
0.761719 4.505023e-02
0.767578 4.529519e-02
0.773438 4.553804e-02
0.779297 4.577878e-02
0.785156 4.601740e-02
0.791016 4.625390e-02
0.796875 4.648826e-02
0.802734 4.672048e-02
0.808594 4.695056e-02
0.814453 4.717848e-02
0.820312 4.740424e-02
0.826172 4.762783e-02
0.832031 4.784924e-02
0.837891 4.806848e-02
0.843750 4.828553e-02
0.849609 4.850040e-02
0.855469 4.871306e-02
0.861328 4.892352e-02
0.867188 4.913177e-02
0.873047 4.933781e-02
0.878906 4.954163e-02
0.884766 4.974323e-02
0.890625 4.994260e-02
0.896484 5.013974e-02
0.902344 5.033465e-02
0.908203 5.052731e-02
0.914062 5.071773e-02
0.919922 5.090590e-02
0.925781 5.109181e-02
0.931641 5.127548e-02
0.937500 5.145688e-02
0.943359 5.163602e-02
0.949219 5.181290e-02
0.955078 5.198751e-02
0.960938 5.215985e-02
0.966797 5.232992e-02
0.972656 5.249771e-02
0.978516 5.266323e-02
0.984375 5.282646e-02
0.990234 5.298742e-02
0.996094 5.314609e-02
1.001953 5.330248e-02
1.007812 5.345658e-02
1.013672 5.360839e-02
1.019531 5.375792e-02
1.025391 5.390516e-02
1.031250 5.405011e-02
1.037109 5.419276e-02
1.042969 5.433313e-02
1.048828 5.447121e-02
1.054688 5.460699e-02
1.060547 5.474049e-02
1.066406 5.487169e-02
1.072266 5.500061e-02
1.078125 5.512723e-02
1.083984 5.525157e-02
1.089844 5.537362e-02
1.095703 5.549338e-02
1.101562 5.561085e-02
1.107422 5.572604e-02
1.113281 5.583895e-02
1.119141 5.594957e-02
1.125000 5.605792e-02
1.130859 5.616398e-02
1.136719 5.626778e-02
1.142578 5.636929e-02
1.148438 5.646854e-02
1.154297 5.656552e-02
1.160156 5.666023e-02
1.166016 5.675268e-02
1.171875 5.684286e-02
1.177734 5.693080e-02
1.183594 5.701647e-02
1.189453 5.709990e-02
1.195312 5.718108e-02
1.201172 5.726001e-02
1.207031 5.733671e-02
1.212891 5.741116e-02
1.218750 5.748339e-02
1.224609 5.755339e-02
1.230469 5.762117e-02
1.236328 5.768673e-02
1.242188 5.775007e-02
1.248047 5.781121e-02
1.253906 5.787014e-02
1.259766 5.792687e-02
1.265625 5.798141e-02
1.271484 5.803376e-02
1.277344 5.808392e-02
1.283203 5.813191e-02
1.289062 5.817773e-02
1.294922 5.822138e-02
1.300781 5.826287e-02
1.306641 5.830220e-02
1.312500 5.833939e-02
1.318359 5.837443e-02
1.324219 5.840734e-02
1.330078 5.843812e-02
1.335938 5.846678e-02
1.341797 5.849332e-02
1.347656 5.851776e-02
1.353516 5.854009e-02
1.359375 5.856033e-02
1.365234 5.857848e-02
1.371094 5.859456e-02
1.376953 5.860856e-02
1.382812 5.862049e-02
1.388672 5.863037e-02
1.394531 5.863820e-02
1.400391 5.864399e-02
1.406250 5.864775e-02
1.412109 5.864948e-02
1.417969 5.864919e-02
1.423828 5.864690e-02
1.429688 5.864261e-02
1.435547 5.863632e-02
1.441406 5.862806e-02
1.447266 5.861782e-02
1.453125 5.860561e-02
1.458984 5.859145e-02
1.464844 5.857534e-02
1.470703 5.855730e-02
1.476562 5.853732e-02
1.482422 5.851543e-02
1.488281 5.849163e-02
1.494141 5.846592e-02
1.500000 5.843833e-02
1.505859 5.840885e-02
1.511719 5.837751e-02
1.517578 5.834430e-02
1.523438 5.830924e-02
1.529297 5.827234e-02
1.535156 5.823361e-02
1.541016 5.819306e-02
1.546875 5.815069e-02
1.552734 5.810653e-02
1.558594 5.806058e-02
1.564453 5.801284e-02
1.570312 5.796334e-02
1.576172 5.791208e-02
1.582031 5.785908e-02
1.587891 5.780433e-02
1.593750 5.774786e-02
1.599609 5.768968e-02
1.605469 5.762979e-02
1.611328 5.756821e-02
1.617188 5.750494e-02
1.623047 5.744001e-02
1.628906 5.737341e-02
1.634766 5.730517e-02
1.640625 5.723529e-02
1.646484 5.716379e-02
1.652344 5.709067e-02
1.658203 5.701595e-02
1.664062 5.693964e-02
1.669922 5.686176e-02
1.675781 5.678230e-02
1.681641 5.670129e-02
1.687500 5.661873e-02
1.693359 5.653464e-02
1.699219 5.644904e-02
1.705078 5.636192e-02
1.710938 5.627331e-02
1.716797 5.618321e-02
1.722656 5.609164e-02
1.728516 5.599862e-02
1.734375 5.590414e-02
1.740234 5.580823e-02
1.746094 5.571089e-02
1.751953 5.561215e-02
1.757812 5.551200e-02
1.763672 5.541047e-02
1.769531 5.530757e-02
1.775391 5.520330e-02
1.781250 5.509768e-02
1.787109 5.499073e-02
1.792969 5.488245e-02
1.798828 5.477286e-02
1.804688 5.466197e-02
1.810547 5.454979e-02
1.816406 5.443634e-02
1.822266 5.432163e-02
1.828125 5.420567e-02
1.833984 5.408847e-02
1.839844 5.397005e-02
1.845703 5.385041e-02
1.851562 5.372958e-02
1.857422 5.360756e-02
1.863281 5.348437e-02
1.869141 5.336001e-02
1.875000 5.323451e-02
1.880859 5.310788e-02
1.886719 5.298012e-02
1.892578 5.285125e-02
1.898438 5.272129e-02
1.904297 5.259024e-02
1.910156 5.245812e-02
1.916016 5.232494e-02
1.921875 5.219071e-02
1.927734 5.205546e-02
1.933594 5.191918e-02
1.939453 5.178189e-02
1.945312 5.164361e-02
1.951172 5.150435e-02
1.957031 5.136411e-02
1.962891 5.122292e-02
1.968750 5.108079e-02
1.974609 5.093773e-02
1.980469 5.079374e-02
1.986328 5.064885e-02
1.992188 5.050307e-02
1.998047 5.035641e-02
2.003906 5.020888e-02
2.009766 5.006049e-02
2.015625 4.991127e-02
2.021484 4.976121e-02
2.027344 4.961033e-02
2.033203 4.945865e-02
2.039062 4.930618e-02
2.044922 4.915293e-02
2.050781 4.899891e-02
2.056641 4.884414e-02
2.062500 4.868862e-02
2.068359 4.853238e-02
2.074219 4.837541e-02
2.080078 4.821775e-02
2.085938 4.805939e-02
2.091797 4.790035e-02
2.097656 4.774064e-02
2.103516 4.758027e-02
2.109375 4.741927e-02
2.115234 4.725763e-02
2.121094 4.709537e-02
2.126953 4.693251e-02
2.132812 4.676905e-02
2.138672 4.660501e-02
2.144531 4.644040e-02
2.150391 4.627523e-02
2.156250 4.610951e-02
2.162109 4.594326e-02
2.167969 4.577649e-02
2.173828 4.560921e-02
2.179688 4.544143e-02
2.185547 4.527316e-02
2.191406 4.510441e-02
2.197266 4.493520e-02
2.203125 4.476554e-02
2.208984 4.459544e-02
2.214844 4.442491e-02
2.220703 4.425396e-02
2.226562 4.408261e-02
2.232422 4.391086e-02
2.238281 4.373873e-02
2.244141 4.356623e-02
2.250000 4.339336e-02
2.255859 4.322015e-02
2.261719 4.304660e-02
2.267578 4.287273e-02
2.273438 4.269853e-02
2.279297 4.252404e-02
2.285156 4.234924e-02
2.291016 4.217417e-02
2.296875 4.199883e-02
2.302734 4.182322e-02
2.308594 4.164736e-02
2.314453 4.147126e-02
2.320312 4.129494e-02
2.326172 4.111839e-02
2.332031 4.094164e-02
2.337891 4.076469e-02
2.343750 4.058756e-02
2.349609 4.041024e-02
2.355469 4.023276e-02
2.361328 4.005513e-02
2.367188 3.987735e-02
2.373047 3.969943e-02
2.378906 3.952139e-02
2.384766 3.934323e-02
2.390625 3.916497e-02
2.396484 3.898661e-02
2.402344 3.880816e-02
2.408203 3.862964e-02
2.414062 3.845105e-02
2.419922 3.827241e-02
2.425781 3.809372e-02
2.431641 3.791499e-02
2.437500 3.773623e-02
2.443359 3.755745e-02
2.449219 3.737866e-02
2.455078 3.719988e-02
2.460938 3.702110e-02
2.466797 3.684234e-02
2.472656 3.666360e-02
2.478516 3.648490e-02
2.484375 3.630625e-02
2.490234 3.612765e-02
2.496094 3.594911e-02
2.501953 3.577065e-02
2.507812 3.559226e-02
2.513672 3.541396e-02
2.519531 3.523576e-02
2.525391 3.505767e-02
2.531250 3.487968e-02
2.537109 3.470182e-02
2.542969 3.452409e-02
2.548828 3.434650e-02
2.554688 3.416906e-02
2.560547 3.399177e-02
2.566406 3.381464e-02
2.572266 3.363768e-02
2.578125 3.346090e-02
2.583984 3.328430e-02
2.589844 3.310790e-02
2.595703 3.293170e-02
2.601562 3.275571e-02
2.607422 3.257993e-02
2.613281 3.240438e-02
2.619141 3.222906e-02
2.625000 3.205397e-02
2.630859 3.187913e-02
2.636719 3.170455e-02
2.642578 3.153022e-02
2.648438 3.135616e-02
2.654297 3.118237e-02
2.660156 3.100886e-02
2.666016 3.083564e-02
2.671875 3.066271e-02
2.677734 3.049008e-02
2.683594 3.031775e-02
2.689453 3.014574e-02
2.695312 2.997405e-02
2.701172 2.980269e-02
2.707031 2.963165e-02
2.712891 2.946095e-02
2.718750 2.929060e-02
2.724609 2.912060e-02
2.730469 2.895095e-02
2.736328 2.878166e-02
2.742188 2.861275e-02
2.748047 2.844420e-02
2.753906 2.827603e-02
2.759766 2.810825e-02
2.765625 2.794086e-02
2.771484 2.777386e-02
2.777344 2.760727e-02
2.783203 2.744108e-02
2.789062 2.727530e-02
2.794922 2.710994e-02
2.800781 2.694500e-02
2.806641 2.678048e-02
2.812500 2.661640e-02
2.818359 2.645276e-02
2.824219 2.628955e-02
2.830078 2.612679e-02
2.835938 2.596448e-02
2.841797 2.580263e-02
2.847656 2.564124e-02
2.853516 2.548031e-02
2.859375 2.531985e-02
2.865234 2.515986e-02
2.871094 2.500035e-02
2.876953 2.484132e-02
2.882812 2.468277e-02
2.888672 2.452472e-02
2.894531 2.436716e-02
2.900391 2.421010e-02
2.906250 2.405353e-02
2.912109 2.389748e-02
2.917969 2.374193e-02
2.923828 2.358689e-02
2.929688 2.343237e-02
2.935547 2.327837e-02
2.941406 2.312489e-02
2.947266 2.297194e-02
2.953125 2.281952e-02
2.958984 2.266763e-02
2.964844 2.251628e-02
2.970703 2.236547e-02
2.976562 2.221520e-02
2.982422 2.206547e-02
2.988281 2.191629e-02
2.994141 2.176767e-02
3.000000 2.161960e-02
3.005859 2.147208e-02
3.011719 2.132512e-02
3.017578 2.117873e-02
3.023438 2.103290e-02
3.029297 2.088764e-02
3.035156 2.074295e-02
3.041016 2.059882e-02
3.046875 2.045528e-02
3.052734 2.031231e-02
3.058594 2.016992e-02
3.064453 2.002810e-02
3.070312 1.988688e-02
3.076172 1.974623e-02
3.082031 1.960618e-02
3.087891 1.946671e-02
3.093750 1.932783e-02
3.099609 1.918955e-02
3.105469 1.905186e-02
3.111328 1.891476e-02
3.117188 1.877827e-02
3.123047 1.864237e-02
3.128906 1.850707e-02
3.134766 1.837238e-02
3.140625 1.823829e-02
3.146484 1.810480e-02
3.152344 1.797192e-02
3.158203 1.783965e-02
3.164062 1.770798e-02
3.169922 1.757693e-02
3.175781 1.744648e-02
3.181641 1.731665e-02
3.187500 1.718743e-02
3.193359 1.705882e-02
3.199219 1.693083e-02
3.205078 1.680345e-02
3.210938 1.667669e-02
3.216797 1.655055e-02
3.222656 1.642503e-02
3.228516 1.630012e-02
3.234375 1.617583e-02
3.240234 1.605216e-02
3.246094 1.592911e-02
3.251953 1.580668e-02
3.257812 1.568488e-02
3.263672 1.556369e-02
3.269531 1.544312e-02
3.275391 1.532318e-02
3.281250 1.520386e-02
3.287109 1.508516e-02
3.292969 1.496708e-02
3.298828 1.484962e-02
3.304688 1.473279e-02
3.310547 1.461658e-02
3.316406 1.450099e-02
3.322266 1.438602e-02
3.328125 1.427168e-02
3.333984 1.415796e-02
3.339844 1.404486e-02
3.345703 1.393238e-02
3.351562 1.382052e-02
3.357422 1.370928e-02
3.363281 1.359866e-02
3.369141 1.348866e-02
3.375000 1.337928e-02
3.380859 1.327053e-02
3.386719 1.316239e-02
3.392578 1.305486e-02
3.398438 1.294796e-02
3.404297 1.284167e-02
3.410156 1.273600e-02
3.416016 1.263094e-02
3.421875 1.252650e-02
3.427734 1.242267e-02
3.433594 1.231945e-02
3.439453 1.221685e-02
3.445312 1.211486e-02
3.451172 1.201347e-02
3.457031 1.191270e-02
3.462891 1.181254e-02
3.468750 1.171298e-02
3.474609 1.161403e-02
3.480469 1.151569e-02
3.486328 1.141795e-02
3.492188 1.132081e-02
3.498047 1.122427e-02
3.503906 1.112834e-02
3.509766 1.103300e-02
3.515625 1.093827e-02
3.521484 1.084413e-02
3.527344 1.075058e-02
3.533203 1.065763e-02
3.539062 1.056528e-02
3.544922 1.047351e-02
3.550781 1.038234e-02
3.556641 1.029175e-02
3.562500 1.020176e-02
3.568359 1.011234e-02
3.574219 1.002352e-02
3.580078 9.935272e-03
3.585938 9.847609e-03
3.591797 9.760525e-03
3.597656 9.674019e-03
3.603516 9.588090e-03
3.609375 9.502736e-03
3.615234 9.417955e-03
3.621094 9.333746e-03
3.626953 9.250106e-03
3.632812 9.167034e-03
3.638672 9.084529e-03
3.644531 9.002588e-03
3.650391 8.921210e-03
3.656250 8.840393e-03
3.662109 8.760134e-03
3.667969 8.680433e-03
3.673828 8.601288e-03
3.679688 8.522696e-03
3.685547 8.444655e-03
3.691406 8.367164e-03
3.697266 8.290221e-03
3.703125 8.213824e-03
3.708984 8.137970e-03
3.714844 8.062658e-03
3.720703 7.987886e-03
3.726562 7.913652e-03
3.732422 7.839953e-03
3.738281 7.766788e-03
3.744141 7.694155e-03
3.750000 7.622051e-03
3.755859 7.550475e-03
3.761719 7.479424e-03
3.767578 7.408896e-03
3.773438 7.338890e-03
3.779297 7.269402e-03
3.785156 7.200431e-03
3.791016 7.131975e-03
3.796875 7.064032e-03
3.802734 6.996598e-03
3.808594 6.929673e-03
3.814453 6.863253e-03
3.820312 6.797338e-03
3.826172 6.731923e-03
3.832031 6.667008e-03
3.837891 6.602590e-03
3.843750 6.538666e-03
3.849609 6.475235e-03
3.855469 6.412295e-03
3.861328 6.349842e-03
3.867188 6.287874e-03
3.873047 6.226390e-03
3.878906 6.165387e-03
3.884766 6.104863e-03
3.890625 6.044815e-03
3.896484 5.985241e-03
3.902344 5.926138e-03
3.908203 5.867505e-03
3.914062 5.809340e-03
3.919922 5.751639e-03
3.925781 5.694400e-03
3.931641 5.637621e-03
3.937500 5.581300e-03
3.943359 5.525434e-03
3.949219 5.470021e-03
3.955078 5.415059e-03
3.960938 5.360545e-03
3.966797 5.306476e-03
3.972656 5.252851e-03
3.978516 5.199667e-03
3.984375 5.146922e-03
3.990234 5.094613e-03
3.996094 5.042738e-03
4.001953 4.991294e-03
4.007812 4.940279e-03
4.013672 4.889691e-03
4.019531 4.839528e-03
4.025391 4.789786e-03
4.031250 4.740464e-03
4.037109 4.691558e-03
4.042969 4.643068e-03
4.048828 4.594990e-03
4.054688 4.547321e-03
4.060547 4.500060e-03
4.066406 4.453205e-03
4.072266 4.406752e-03
4.078125 4.360699e-03
4.083984 4.315044e-03
4.089844 4.269785e-03
4.095703 4.224918e-03
4.101562 4.180443e-03
4.107422 4.136356e-03
4.113281 4.092654e-03
4.119141 4.049337e-03
4.125000 4.006400e-03
4.130859 3.963842e-03
4.136719 3.921661e-03
4.142578 3.879854e-03
4.148438 3.838418e-03
4.154297 3.797352e-03
4.160156 3.756653e-03
4.166016 3.716318e-03
4.171875 3.676345e-03
4.177734 3.636733e-03
4.183594 3.597478e-03
4.189453 3.558578e-03
4.195312 3.520030e-03
4.201172 3.481834e-03
4.207031 3.443985e-03
4.212891 3.406482e-03
4.218750 3.369323e-03
4.224609 3.332505e-03
4.230469 3.296026e-03
4.236328 3.259883e-03
4.242188 3.224075e-03
4.248047 3.188599e-03
4.253906 3.153452e-03
4.259766 3.118633e-03
4.265625 3.084139e-03
4.271484 3.049967e-03
4.277344 3.016116e-03
4.283203 2.982584e-03
4.289062 2.949367e-03
4.294922 2.916465e-03
4.300781 2.883874e-03
4.306641 2.851592e-03
4.312500 2.819617e-03
4.318359 2.787947e-03
4.324219 2.756580e-03
4.330078 2.725514e-03
4.335938 2.694745e-03
4.341797 2.664273e-03
4.347656 2.634094e-03
4.353516 2.604208e-03
4.359375 2.574610e-03
4.365234 2.545300e-03
4.371094 2.516276e-03
4.376953 2.487534e-03
4.382812 2.459073e-03
4.388672 2.430892e-03
4.394531 2.402986e-03
4.400391 2.375356e-03
4.406250 2.347997e-03
4.412109 2.320910e-03
4.417969 2.294090e-03
4.423828 2.267537e-03
4.429688 2.241247e-03
4.435547 2.215220e-03
4.441406 2.189453e-03
4.447266 2.163943e-03
4.453125 2.138690e-03
4.458984 2.113690e-03
4.464844 2.088943e-03
4.470703 2.064445e-03
4.476562 2.040195e-03
4.482422 2.016191e-03
4.488281 1.992431e-03
4.494141 1.968912e-03
4.500000 1.945634e-03
4.505859 1.922593e-03
4.511719 1.899789e-03
4.517578 1.877218e-03
4.523438 1.854880e-03
4.529297 1.832772e-03
4.535156 1.810892e-03
4.541016 1.789239e-03
4.546875 1.767810e-03
4.552734 1.746604e-03
4.558594 1.725619e-03
4.564453 1.704853e-03
4.570312 1.684303e-03
4.576172 1.663969e-03
4.582031 1.643849e-03
4.587891 1.623940e-03
4.593750 1.604240e-03
4.599609 1.584749e-03
4.605469 1.565464e-03
4.611328 1.546383e-03
4.617188 1.527504e-03
4.623047 1.508827e-03
4.628906 1.490349e-03
4.634766 1.472068e-03
4.640625 1.453982e-03
4.646484 1.436091e-03
4.652344 1.418391e-03
4.658203 1.400882e-03
4.664062 1.383562e-03
4.669922 1.366429e-03
4.675781 1.349481e-03
4.681641 1.332717e-03
4.687500 1.316136e-03
4.693359 1.299734e-03
4.699219 1.283511e-03
4.705078 1.267466e-03
4.710938 1.251596e-03
4.716797 1.235900e-03
4.722656 1.220376e-03
4.728516 1.205024e-03
4.734375 1.189840e-03
4.740234 1.174824e-03
4.746094 1.159974e-03
4.751953 1.145289e-03
4.757812 1.130766e-03
4.763672 1.116405e-03
4.769531 1.102204e-03
4.775391 1.088162e-03
4.781250 1.074276e-03
4.787109 1.060546e-03
4.792969 1.046970e-03
4.798828 1.033546e-03
4.804688 1.020274e-03
4.810547 1.007151e-03
4.816406 9.941761e-04
4.822266 9.813481e-04
4.828125 9.686654e-04
4.833984 9.561266e-04
4.839844 9.437304e-04
4.845703 9.314753e-04
4.851562 9.193600e-04
4.857422 9.073830e-04
4.863281 8.955431e-04
4.869141 8.838389e-04
4.875000 8.722689e-04
4.880859 8.608320e-04
4.886719 8.495268e-04
4.892578 8.383520e-04
4.898438 8.273062e-04
4.904297 8.163882e-04
4.910156 8.055967e-04
4.916016 7.949304e-04
4.921875 7.843881e-04
4.927734 7.739685e-04
4.933594 7.636703e-04
4.939453 7.534923e-04
4.945312 7.434333e-04
4.951172 7.334921e-04
4.957031 7.236675e-04
4.962891 7.139582e-04
4.968750 7.043631e-04
4.974609 6.948809e-04
4.980469 6.855106e-04
4.986328 6.762509e-04
4.992188 6.671007e-04
4.998047 6.580588e-04
5.003906 6.491241e-04
5.009766 6.402956e-04
5.015625 6.315719e-04
5.021484 6.229522e-04
5.027344 6.144351e-04
5.033203 6.060197e-04
5.039062 5.977049e-04
5.044922 5.894895e-04
5.050781 5.813726e-04
5.056641 5.733530e-04
5.062500 5.654298e-04
5.068359 5.576018e-04
5.074219 5.498680e-04
5.080078 5.422274e-04
5.085938 5.346790e-04
5.091797 5.272218e-04
5.097656 5.198547e-04
5.103516 5.125768e-04
5.109375 5.053871e-04
5.115234 4.982847e-04
5.121094 4.912684e-04
5.126953 4.843375e-04
5.132812 4.774909e-04
5.138672 4.707276e-04
5.144531 4.640469e-04
5.150391 4.574476e-04
5.156250 4.509289e-04
5.162109 4.444899e-04
5.167969 4.381297e-04
5.173828 4.318473e-04
5.179688 4.256419e-04
5.185547 4.195127e-04
5.191406 4.134586e-04
5.197266 4.074789e-04
5.203125 4.015727e-04
5.208984 3.957391e-04
5.214844 3.899772e-04
5.220703 3.842864e-04
5.226562 3.786656e-04
5.232422 3.731141e-04
5.238281 3.676311e-04
5.244141 3.622158e-04
5.250000 3.568672e-04
5.255859 3.515848e-04
5.261719 3.463675e-04
5.267578 3.412148e-04
5.273438 3.361257e-04
5.279297 3.310996e-04
5.285156 3.261356e-04
5.291016 3.212330e-04
5.296875 3.163911e-04
5.302734 3.116090e-04
5.308594 3.068861e-04
5.314453 3.022217e-04
5.320312 2.976149e-04
5.326172 2.930651e-04
5.332031 2.885716e-04
5.337891 2.841336e-04
5.343750 2.797505e-04
5.349609 2.754215e-04
5.355469 2.711461e-04
5.361328 2.669234e-04
5.367188 2.627528e-04
5.373047 2.586336e-04
5.378906 2.545652e-04
5.384766 2.505469e-04
5.390625 2.465781e-04
5.396484 2.426581e-04
5.402344 2.387862e-04
5.408203 2.349619e-04
5.414062 2.311844e-04
5.419922 2.274532e-04
5.425781 2.237676e-04
5.431641 2.201270e-04
5.437500 2.165309e-04
5.443359 2.129785e-04
5.449219 2.094694e-04
5.455078 2.060028e-04
5.460938 2.025783e-04
5.466797 1.991951e-04
5.472656 1.958528e-04
5.478516 1.925508e-04
5.484375 1.892884e-04
5.490234 1.860652e-04
5.496094 1.828805e-04
5.501953 1.797339e-04
5.507812 1.766246e-04
5.513672 1.735523e-04
5.519531 1.705163e-04
5.525391 1.675161e-04
5.531250 1.645512e-04
5.537109 1.616210e-04
5.542969 1.587251e-04
5.548828 1.558628e-04
5.554688 1.530336e-04
5.560547 1.502372e-04
5.566406 1.474728e-04
5.572266 1.447401e-04
5.578125 1.420385e-04
5.583984 1.393675e-04
5.589844 1.367267e-04
5.595703 1.341154e-04
5.601562 1.315333e-04
5.607422 1.289799e-04
5.613281 1.264546e-04
5.619141 1.239570e-04
5.625000 1.214866e-04
5.630859 1.190430e-04
5.636719 1.166256e-04
5.642578 1.142340e-04
5.648438 1.118678e-04
5.654297 1.095264e-04
5.660156 1.072094e-04
5.666016 1.049164e-04
5.671875 1.026470e-04
5.677734 1.004005e-04
5.683594 9.817669e-05
5.689453 9.597502e-05
5.695312 9.379508e-05
5.701172 9.163643e-05
5.707031 8.949861e-05
5.712891 8.738121e-05
5.718750 8.528379e-05
5.724609 8.320591e-05
5.730469 8.114715e-05
5.736328 7.910709e-05
5.742188 7.708529e-05
5.748047 7.508134e-05
5.753906 7.309482e-05
5.759766 7.112530e-05
5.765625 6.917237e-05
5.771484 6.723561e-05
5.777344 6.531462e-05
5.783203 6.340897e-05
5.789062 6.151826e-05
5.794922 5.964208e-05
5.800781 5.778001e-05
5.806641 5.593166e-05
5.812500 5.409662e-05
5.818359 5.227447e-05
5.824219 5.046483e-05
5.830078 4.866727e-05
5.835938 4.688141e-05
5.841797 4.510684e-05
5.847656 4.334316e-05
5.853516 4.158997e-05
5.859375 3.984686e-05
5.865234 3.811345e-05
5.871094 3.638932e-05
5.876953 3.467409e-05
5.882812 3.296736e-05
5.888672 3.126871e-05
5.894531 2.957777e-05
5.900391 2.789412e-05
5.906250 2.621737e-05
5.912109 2.454712e-05
5.917969 2.288297e-05
5.923828 2.122452e-05
5.929688 1.957137e-05
5.935547 1.792311e-05
5.941406 1.627936e-05
5.947266 1.463970e-05
5.953125 1.300373e-05
5.958984 1.137104e-05
5.964844 9.741236e-06
5.970703 8.113904e-06
5.976562 6.488637e-06
5.982422 4.865025e-06
5.988281 3.242657e-06
5.994141 1.621120e-06
