# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
3.009363064396598e+00 -3.596145544220842e-01 -2.864560089327869e-01
3.100555884529828e+00 -3.843888383987067e-01 -2.568011070123751e-01
3.191748704663059e+00 -4.064399033869474e-01 -2.267680010143218e-01
3.282941524796289e+00 -4.257430475414177e-01 -1.965694127226157e-01
3.374134344929519e+00 -4.422924216678040e-01 -1.664059238733691e-01
3.465327165062749e+00 -4.560998831865756e-01 -1.364651860120734e-01
3.556519985195979e+00 -4.671937947094292e-01 -1.069214861306210e-01
3.647712805329209e+00 -4.756177969228237e-01 -7.793560708603052e-02
3.738905625462440e+00 -4.814295797866974e-01 -4.965491975490793e-02
3.830098445595670e+00 -4.846996703537468e-01 -2.221364543725423e-02
3.921291265728900e+00 -4.855102500891806e-01 4.266768585497330e-03
4.012484085862130e+00 -4.839540096460287e-01 2.967721096623727e-02
4.103676905995361e+00 -4.801330447840891e-01 5.392044845821510e-02
4.194869726128591e+00 -4.741577936094144e-01 7.691068247543993e-02
4.286062546261821e+00 -4.661460126032104e-01 9.857314528695499e-02
4.377255366395051e+00 -4.562217870092231e-01 1.188437523253069e-01
4.468448186528281e+00 -4.445145700280012e-01 1.376688188119056e-01
4.559641006661511e+00 -4.311582448682640e-01 1.550048413723428e-01
4.650833826794742e+00 -4.162902039519054e-01 1.708183387405483e-01
4.742026646927972e+00 -4.000504403652977e-01 1.850857401884746e-01
4.833219467061202e+00 -3.825806478887240e-01 1.977933060783454e-01
4.924412287194432e+00 -3.640233275031355e-01 2.089370619836275e-01
5.015605107327662e+00 -3.445209000501434e-01 2.185227261843133e-01
5.106797927460892e+00 -3.242148265884829e-01 2.265656099871351e-01
5.197990747594122e+00 -3.032447398338327e-01 2.330904711799788e-01
5.289183567727353e+00 -2.817475917832080e-01 2.381313028832877e-01
5.380376387860583e+00 -2.598568241174345e-01 2.417310429473840e-01
5.471569207993813e+00 -2.377015691692309e-01 2.439411926639451e-01
5.562762028127043e+00 -2.154058900835151e-01 2.448213376853944e-01
5.653954848260273e+00 -1.930880692455126e-01 2.444385684354484e-01
5.745147668393503e+00 -1.708599540981694e-01 2.428668017040463e-01
5.836340488526734e+00 -1.488263691220326e-01 2.401860093201647e-01
5.927533308659964e+00 -1.270846020368032e-01 2.364813635832614e-01
6.018726128793194e+00 -1.057239712497175e-01 2.318423123431592e-01
6.109918948926424e+00 -8.482548028028584e-02 2.263615991302311e-01
6.201111769059654e+00 -6.446156340078667e-02 2.201342454843374e-01
6.292304589192884e+00 -4.469592511827524e-02 2.132565135940918e-01
6.383497409326115e+00 -2.558347445720171e-02 2.058248675662439e-01
6.474690229459345e+00 -7.170353348041060e-03 1.979349511663488e-01
6.565883049592575e+00 1.050594315503503e-02 1.896805988047705e-01
6.657075869725805e+00 2.741635856707789e-02 1.811528950045187e-01
6.748268689859035e+00 4.353998362133232e-02 1.724392957067340e-01
6.839461509992265e+00 5.886368804323031e-02 1.636228226725321e-01
6.930654330125495e+00 7.338168254531773e-02 1.547813400443718e-01
7.021847150258726e+00 8.709501886523568e-02 1.459869199391390e-01
7.113039970391956e+00 1.000110361987723e-01 1.373053018428284e-01
7.204232790525186e+00 1.121427627247025e-01 1.287954486262895e-01
7.295425610658416e+00 1.235082810935909e-01 1.205092002454757e-01
7.386618430791646e+00 1.341300667778631e-01 1.124910246512268e-01
7.477811250924876e+00 1.440343080755243e-01 1.047778641195058e-01
7.569004071058107e+00 1.532502163451554e-01 9.739907411660334e-02
7.660196891191337e+00 1.618093347444240e-01 9.037645091883875e-02
